"County","State","Outbreak Date","Area Id","Flock Type","Flock Size"
"Otter Tail","Minnesota","04-19-2022","Otter Tail 03","Commercial Turkey Meat Bird","29700"
"Swift","Minnesota","04-19-2022","Swift 02","Commercial Turkey Meat Bird","31600"
"Stutsman","North Dakota","04-19-2022","Stutsman 02","WOAH Poultry","20"
"Madison","Idaho","04-20-2022","Madison 01","WOAH Poultry","200"
"Elkhart","Indiana","04-20-2022","Elkhart 03","Commercial Duck Meat Bird","6600"
"Stearns","Minnesota","04-20-2022","Stearns 06","Commercial Turkey Meat Bird","62800"
"Stearns","Minnesota","04-20-2022","Stearns 07","Commercial Turkey Meat Bird","72000"
"Todd","Minnesota","04-20-2022","Todd 02","Commercial Turkey Meat Bird","30100"
"Todd","Minnesota","04-20-2022","Todd 03","Commercial Turkey Meat Bird","30300"
"Glacier","Montana","04-20-2022","Glacier 01","WOAH Poultry","54200"
"Lancaster","Pennsylvania","04-20-2022","Lancaster 02","Commercial Table Egg Layer","1127700"
"Lancaster","Pennsylvania","04-20-2022","Lancaster 03","Commercial Table Egg Layer","879400"
"Bremer","Iowa","04-21-2022","Bremer 01","Commercial Turkey Meat Bird","29200"
"Morrison","Minnesota","04-21-2022","Morrison 11","Commercial Turkey Meat Bird","40900"
"Todd","Minnesota","04-21-2022","Todd 04","Commercial Turkey Meat Bird","19700"
"Todd","Minnesota","04-21-2022","Todd 05","Commercial Turkey Meat Bird","37000"
"Renville","North Dakota","04-21-2022","Renville 01","WOAH Non-Poultry","70"
"Richland","North Dakota","04-21-2022","Richland 01","Commercial Turkey Meat Bird","27500"
"Otter Tail","Minnesota","04-22-2022","Otter Tail 04","Commercial Turkey Meat Bird","27300"
"Swift","Minnesota","04-22-2022","Swift 03","Commercial Turkey Meat Bird","127400"
"Yellow Medicine","Minnesota","04-22-2022","Yellow Medicine 02","Commercial Turkey Meat Bird","49500"
"Lancaster","Pennsylvania","04-22-2022","Lancaster 04","Commercial Broiler Production","50300"
"Polk","Wisconsin","04-23-2022","Polk 02","WOAH Non-Poultry","40"
"Menominee","Michigan","04-25-2022","Menominee 04","WOAH Non-Poultry","40"
"Rice","Minnesota","04-25-2022","Rice 01","WOAH Non-Poultry","90"
"Stearns","Minnesota","04-25-2022","Stearns 08","Commercial Turkey Meat Bird","14600"
"Cache","Utah","04-25-2022","Cache 01","Commercial Table Egg Layer","1501200"
"Kossuth","Iowa","04-26-2022","Kossuth 01","WOAH Non-Poultry","4"
"Missoula","Montana","04-26-2022","Missoula 01","WOAH Non-Poultry","70"
"Richland","North Dakota","04-26-2022","Richland 02","WOAH Poultry","20"
"Lancaster","Pennsylvania","04-26-2022","Lancaster 05","Commercial Table Egg Layer","307400"
"Republic","Kansas","04-27-2022","Republic 01","WOAH Poultry","110"
"Saginaw","Michigan","04-27-2022","Saginaw 01","WOAH Non-Poultry","80"
"Knox","Nebraska","04-27-2022","Knox 01","Commercial Table Egg Layer","2118000"
"Lancaster","Pennsylvania","04-27-2022","Lancaster 06","Commercial Broiler Breeder Pullets","18100"
"Johnson","Indiana","04-28-2022","Johnson 01","WOAH Non-Poultry","40"
"Wexford","Michigan","04-28-2022","Wexford 01","WOAH Poultry","70"
"Carver","Minnesota","04-28-2022","Carver 01","WOAH Non-Poultry","20"
"Swift","Minnesota","04-28-2022","Swift 04","WOAH Non-Poultry","20"
"Caledonia","Vermont","04-28-2022","Caledonia 01","WOAH Non-Poultry","30"
"Barron","Wisconsin","04-28-2022","Barron 02","Commercial Turkey Meat Bird","110700"
"Matanuska Susitna","Alaska","04-29-2022","Matanuska-Susitna 01","WOAH Non-Poultry","30"
"Weld","Colorado","04-29-2022","Weld 01","Commercial Table Egg Layer","1366200"
